epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,127568,1.26638,0.62179,0.88421,0.95433,0.90414,0.94677,0.55305,1.48223,0.64776,0.89159,0.005743,0.005743,0.005743
45,130451,1.24606,0.61283,0.88476,0.95766,0.90414,0.94905,0.5578,1.48435,0.63763,0.89139,0.005644,0.005644,0.005644
46,132902,1.24641,0.6107,0.88445,0.95827,0.90157,0.94708,0.55476,1.48177,0.64057,0.8913,0.005545,0.005545,0.005545
47,136070,1.23497,0.60939,0.87946,0.96183,0.90378,0.94924,0.5576,1.48448,0.63835,0.89074,0.005446,0.005446,0.005446
48,139104,1.23312,0.60157,0.87971,0.95981,0.90661,0.9489,0.56041,1.47965,0.63665,0.89032,0.005347,0.005347,0.005347
49,142248,1.21664,0.59563,0.88019,0.95255,0.90886,0.94873,0.55935,1.48048,0.63511,0.89182,0.005248,0.005248,0.005248
50,143923,1.21995,0.59149,0.87556,0.95131,0.91235,0.95225,0.56096,1.4747,0.63645,0.89132,0.005149,0.005149,0.005149
51,146796,1.20749,0.58112,0.87479,0.95167,0.91245,0.95233,0.5624,1.47303,0.6343,0.89081,0.00505,0.00505,0.00505
52,149592,1.2068,0.58221,0.87403,0.95314,0.90414,0.95027,0.56621,1.47096,0.63216,0.89005,0.004951,0.004951,0.004951
53,152802,1.18179,0.5729,0.87146,0.94538,0.91192,0.95141,0.56628,1.47003,0.62972,0.89031,0.004852,0.004852,0.004852
54,155783,1.1863,0.56947,0.87351,0.94953,0.91164,0.95137,0.56461,1.47309,0.62992,0.89087,0.004753,0.004753,0.004753
55,159255,1.18226,0.56775,0.86762,0.94361,0.91747,0.95194,0.56821,1.46377,0.62674,0.88996,0.004654,0.004654,0.004654
56,161223,1.16486,0.56485,0.86751,0.94961,0.9151,0.95092,0.56694,1.46527,0.62593,0.89041,0.004555,0.004555,0.004555
57,164360,1.16669,0.56166,0.86794,0.95713,0.90909,0.95118,0.56995,1.46217,0.62572,0.89064,0.004456,0.004456,0.004456
58,167375,1.15158,0.54996,0.86264,0.95281,0.91424,0.95053,0.56888,1.46432,0.62558,0.89044,0.004357,0.004357,0.004357
59,170593,1.1546,0.55048,0.86653,0.95503,0.90894,0.94897,0.56775,1.46564,0.62618,0.88967,0.004258,0.004258,0.004258
60,173892,1.14662,0.54772,0.86275,0.95211,0.91426,0.95131,0.56973,1.46523,0.62811,0.88989,0.004159,0.004159,0.004159
61,177532,1.13351,0.54149,0.86252,0.94897,0.91435,0.9519,0.57182,1.46418,0.62648,0.88988,0.00406,0.00406,0.00406
